Timestamp,Ease of controlling player movement ,Satisfaction of controlling the player ,Ease of understanding instructions and goals,Ease of understanding the UI/HUD 	,Difficulty of combat,Enjoyment of combat,Enjoyment of map layout and environment,Difficulty of the Village area,Enjoyment of the Village area,Difficulty of the Castle area,Enjoyment of the Castle area,Difficulty of the Maze area,Enjoyment of the Maze area,Difficulty of the Platforms area,Enjoyment of the Platforms area,Difficulty of the Boss Fight,Enjoyment of the Boss Fight,Satisfaction of completing the game
11/16/2021 17:23:37,1,1,3,1,3,4,7,6,3,1,2,4,7,6,7,6,7,7
11/17/2021 12:24:33,4,3,1,2,2,5,6,3,5,3,4,1,6,6,5,3,6,6
11/17/2021 19:43:44,3,4,2,2,2,4,7,3,2,1,7,4,6,5,2,4,4,5
11/18/2021 14:00:30,2,3,3,2,3,6,6,2,6,3,5,3,7,6,6,6,5,6
11/18/2021 14:40:44,4,5,2,1,3,3,5,2,6,2,5,4,2,5,1,3,6,3
11/18/2021 17:55:06,2,2,2,1,5,5,4,2,4,1,4,5,4,6,6,7,4,5
11/18/2021 22:26:43,6,4,6,3,3,6,2,5,1,5,1,4,4,3,2,7,6,5
11/18/2021 22:29:48,5,5,3,2,2,2,2,3,6,6,2,2,6,5,5,6,6,7
11/18/2021 23:16:36,3,3,2,1,2,6,6,2,6,2,4,1,5,3,6,3,6,6
11/19/2021 12:44:17,7,6,5,6,6,5,7,3,3,4,2,3,3,6,7,7,6,7
11/19/2021 15:15:38,5,6,6,7,3,5,7,2,6,4,6,4,6,6,3,5,6,6